Sl.no,Date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
215,01-11-2021,Mizoram,2-Wheelers,0,1820
216,01-11-2021,Mizoram,4-Wheelers,0,328
217,01-11-2021,Nagaland,2-Wheelers,0,592
218,01-11-2021,Nagaland,4-Wheelers,0,692
219,01-11-2021,Tripura,2-Wheelers,0,3843
220,01-11-2021,Tripura,4-Wheelers,0,326
221,01-12-2021,Andaman & Nicobar Island,2-Wheelers,0,376
222,01-12-2021,Arunachal Pradesh,2-Wheelers,0,1036
223,01-12-2021,Arunachal Pradesh,4-Wheelers,0,709
224,01-12-2021,Jammu and Kashmir,4-Wheelers,0,5306
225,01-12-2021,Ladakh,2-Wheelers,0,15
226,01-12-2021,Ladakh,4-Wheelers,0,167
227,01-12-2021,Manipur,4-Wheelers,0,849
228,01-12-2021,Meghalaya,2-Wheelers,0,1101
229,01-12-2021,Meghalaya,4-Wheelers,0,888
230,01-12-2021,Mizoram,2-Wheelers,0,1740
231,01-12-2021,Mizoram,4-Wheelers,0,376
232,01-12-2021,Nagaland,2-Wheelers,0,353
233,01-12-2021,Nagaland,4-Wheelers,0,540
234,01-12-2021,Tripura,4-Wheelers,0,352
235,01-01-2022,Andaman & Nicobar Island,2-Wheelers,0,336
236,01-01-2022,Andaman & Nicobar Island,4-Wheelers,0,90
237,01-01-2022,Arunachal Pradesh,2-Wheelers,0,950
238,01-01-2022,Arunachal Pradesh,4-Wheelers,0,766
239,01-01-2022,Assam,4-Wheelers,0,5550
240,01-01-2022,DNH and DD,4-Wheelers,0,358
241,01-01-2022,Jammu and Kashmir,4-Wheelers,0,3963
242,01-01-2022,Ladakh,4-Wheelers,0,150
243,01-01-2022,Manipur,4-Wheelers,0,687
244,01-01-2022,Meghalaya,2-Wheelers,0,1112
245,01-01-2022,Meghalaya,4-Wheelers,0,1063
246,01-01-2022,Mizoram,2-Wheelers,0,1387
247,01-01-2022,Mizoram,4-Wheelers,0,311
248,01-01-2022,Nagaland,2-Wheelers,0,410
249,01-01-2022,Nagaland,4-Wheelers,0,722
250,01-01-2022,Puducherry,4-Wheelers,0,758
251,01-01-2022,Tripura,4-Wheelers,0,394
252,01-02-2022,Andaman & Nicobar Island,2-Wheelers,0,388
253,01-02-2022,Andaman & Nicobar Island,4-Wheelers,0,112
254,01-02-2022,Arunachal Pradesh,2-Wheelers,0,858
255,01-02-2022,Arunachal Pradesh,4-Wheelers,0,671
256,01-02-2022,Ladakh,2-Wheelers,0,15
257,01-02-2022,Ladakh,4-Wheelers,0,44
258,01-02-2022,Manipur,4-Wheelers,0,834
259,01-02-2022,Meghalaya,2-Wheelers,0,1145
260,01-02-2022,Mizoram,2-Wheelers,0,1599
261,01-02-2022,Mizoram,4-Wheelers,0,354
262,01-02-2022,Nagaland,2-Wheelers,0,504
263,01-02-2022,Nagaland,4-Wheelers,0,773
264,01-02-2022,Puducherry,4-Wheelers,0,622
265,01-02-2022,Tripura,4-Wheelers,0,340
266,01-03-2022,Andaman & Nicobar Island,2-Wheelers,0,383
267,01-03-2022,Arunachal Pradesh,2-Wheelers,0,1111
268,01-03-2022,Arunachal Pradesh,4-Wheelers,0,679
269,01-03-2022,Ladakh,2-Wheelers,0,49
270,01-03-2022,Ladakh,4-Wheelers,0,49
271,01-03-2022,Manipur,4-Wheelers,0,717
272,01-03-2022,Meghalaya,2-Wheelers,0,1687
273,01-03-2022,Meghalaya,4-Wheelers,0,1104
274,01-03-2022,Mizoram,2-Wheelers,0,1848
275,01-03-2022,Mizoram,4-Wheelers,0,413
276,01-03-2022,Nagaland,2-Wheelers,0,541
277,01-03-2022,Nagaland,4-Wheelers,0,632
278,01-03-2022,Tripura,4-Wheelers,0,484
279,01-04-2022,Andaman & Nicobar Island,2-Wheelers,0,407
280,01-04-2022,Arunachal Pradesh,2-Wheelers,0,1063
281,01-04-2022,Arunachal Pradesh,4-Wheelers,0,824
282,01-04-2022,Ladakh,2-Wheelers,0,351
283,01-04-2022,Ladakh,4-Wheelers,0,105
284,01-04-2022,Mizoram,2-Wheelers,0,1530
285,01-04-2022,Mizoram,4-Wheelers,0,323
286,01-04-2022,Nagaland,4-Wheelers,0,723
287,01-04-2022,Tripura,4-Wheelers,0,448
288,01-05-2022,Andaman & Nicobar Island,2-Wheelers,0,358
289,01-05-2022,Andaman & Nicobar Island,4-Wheelers,0,110
290,01-05-2022,Arunachal Pradesh,2-Wheelers,0,1241
291,01-05-2022,Arunachal Pradesh,4-Wheelers,0,965
292,01-05-2022,Ladakh,2-Wheelers,0,419
293,01-05-2022,Ladakh,4-Wheelers,0,322
294,01-05-2022,Manipur,4-Wheelers,0,644
295,01-05-2022,Meghalaya,2-Wheelers,0,1780
296,01-05-2022,Mizoram,4-Wheelers,0,397
297,01-05-2022,Nagaland,4-Wheelers,0,630
298,01-05-2022,Tripura,4-Wheelers,0,359
299,01-06-2022,Andaman & Nicobar Island,2-Wheelers,0,423
300,01-06-2022,Andaman & Nicobar Island,4-Wheelers,0,115
301,01-06-2022,Arunachal Pradesh,2-Wheelers,0,1253
302,01-06-2022,Arunachal Pradesh,4-Wheelers,0,1021
303,01-06-2022,Ladakh,4-Wheelers,0,310
304,01-06-2022,Manipur,4-Wheelers,0,1029
305,01-06-2022,Mizoram,4-Wheelers,0,373
306,01-06-2022,Nagaland,2-Wheelers,0,594
307,01-06-2022,Nagaland,4-Wheelers,0,735
308,01-06-2022,Tripura,4-Wheelers,0,354
309,01-07-2022,Andaman & Nicobar Island,2-Wheelers,0,385
310,01-07-2022,Andaman & Nicobar Island,4-Wheelers,0,127
311,01-07-2022,Arunachal Pradesh,2-Wheelers,0,1181
312,01-07-2022,DNH and DD,4-Wheelers,0,344
313,01-07-2022,Ladakh,2-Wheelers,0,314
314,01-07-2022,Manipur,4-Wheelers,0,775
315,01-07-2022,Mizoram,4-Wheelers,0,319
316,01-07-2022,Nagaland,2-Wheelers,0,505
317,01-07-2022,Nagaland,4-Wheelers,0,591
318,01-07-2022,Tripura,4-Wheelers,0,402
319,01-08-2022,Andaman & Nicobar Island,2-Wheelers,0,398
320,01-08-2022,Andaman & Nicobar Island,4-Wheelers,0,154
321,01-08-2022,Arunachal Pradesh,2-Wheelers,0,1244
322,01-08-2022,Arunachal Pradesh,4-Wheelers,0,866
323,01-08-2022,Ladakh,2-Wheelers,0,222
324,01-08-2022,Manipur,4-Wheelers,0,623
325,01-08-2022,Meghalaya,4-Wheelers,0,1120
326,01-08-2022,Mizoram,4-Wheelers,0,408
327,01-08-2022,Nagaland,2-Wheelers,0,554
328,01-08-2022,Nagaland,4-Wheelers,0,844
329,01-08-2022,Tripura,4-Wheelers,0,403
330,01-09-2022,Andaman & Nicobar Island,2-Wheelers,0,484
331,01-09-2022,Andaman & Nicobar Island,4-Wheelers,0,128
332,01-09-2022,Arunachal Pradesh,2-Wheelers,0,1068
333,01-09-2022,Arunachal Pradesh,4-Wheelers,0,931
334,01-09-2022,Ladakh,2-Wheelers,0,30
335,01-09-2022,Ladakh,4-Wheelers,0,189
336,01-09-2022,Manipur,4-Wheelers,0,820
337,01-09-2022,Mizoram,4-Wheelers,0,379
338,01-09-2022,Nagaland,2-Wheelers,0,589
339,01-09-2022,Nagaland,4-Wheelers,0,780
340,01-09-2022,Tripura,4-Wheelers,0,465
341,01-10-2022,Andaman & Nicobar Island,2-Wheelers,0,409
342,01-10-2022,Andaman & Nicobar Island,4-Wheelers,0,144
343,01-10-2022,Arunachal Pradesh,2-Wheelers,0,850
344,01-10-2022,Arunachal Pradesh,4-Wheelers,0,741
345,01-10-2022,Ladakh,2-Wheelers,0,27
346,01-10-2022,Ladakh,4-Wheelers,0,264
347,01-10-2022,Manipur,4-Wheelers,0,596
348,01-10-2022,Mizoram,4-Wheelers,0,362
349,01-10-2022,Nagaland,2-Wheelers,0,374
350,01-10-2022,Nagaland,4-Wheelers,0,690
351,01-10-2022,Tripura,4-Wheelers,0,416
352,01-11-2022,Arunachal Pradesh,2-Wheelers,0,1251
353,01-11-2022,Arunachal Pradesh,4-Wheelers,0,971
354,01-11-2022,Jammu and Kashmir,4-Wheelers,0,4102
355,01-11-2022,Ladakh,2-Wheelers,0,23
356,01-11-2022,Ladakh,4-Wheelers,0,244
357,01-11-2022,Manipur,4-Wheelers,0,1569
358,01-11-2022,Meghalaya,4-Wheelers,0,1158
359,01-11-2022,Mizoram,4-Wheelers,0,378
360,01-11-2022,Nagaland,2-Wheelers,0,447
361,01-11-2022,Nagaland,4-Wheelers,0,724
362,01-11-2022,Punjab,4-Wheelers,0,8875
363,01-11-2022,Tripura,4-Wheelers,0,410
364,01-12-2022,Arunachal Pradesh,4-Wheelers,0,865
365,01-12-2022,Ladakh,2-Wheelers,0,16
366,01-12-2022,Ladakh,4-Wheelers,0,144
367,01-12-2022,Manipur,4-Wheelers,0,1478
368,01-12-2022,Meghalaya,4-Wheelers,0,1150
369,01-12-2022,Mizoram,4-Wheelers,0,445
370,01-12-2022,Nagaland,2-Wheelers,0,369
371,01-12-2022,Nagaland,4-Wheelers,0,490
372,01-12-2022,Tripura,4-Wheelers,0,385
373,01-01-2023,Andaman & Nicobar Island,2-Wheelers,0,373
374,01-01-2023,Andaman & Nicobar Island,4-Wheelers,0,153
375,01-01-2023,Arunachal Pradesh,2-Wheelers,0,718
376,01-01-2023,Arunachal Pradesh,4-Wheelers,0,966
377,01-01-2023,Ladakh,4-Wheelers,0,92
378,01-01-2023,Mizoram,4-Wheelers,0,476
379,01-01-2023,Nagaland,2-Wheelers,0,432
380,01-01-2023,Nagaland,4-Wheelers,0,545
381,01-01-2023,Punjab,4-Wheelers,0,11608
382,01-01-2023,Tripura,4-Wheelers,0,399
383,01-02-2023,Andaman & Nicobar Island,2-Wheelers,0,346
384,01-02-2023,Andaman & Nicobar Island,4-Wheelers,0,148
385,01-02-2023,Arunachal Pradesh,2-Wheelers,0,816
386,01-02-2023,Arunachal Pradesh,4-Wheelers,0,840
387,01-02-2023,Ladakh,2-Wheelers,0,5
388,01-02-2023,Ladakh,4-Wheelers,0,49
389,01-02-2023,Meghalaya,4-Wheelers,0,1002
390,01-02-2023,Mizoram,4-Wheelers,0,337
391,01-02-2023,Nagaland,2-Wheelers,0,375
392,01-02-2023,Nagaland,4-Wheelers,0,806
393,01-02-2023,Tripura,4-Wheelers,0,328
394,01-03-2023,Arunachal Pradesh,2-Wheelers,0,1131
395,01-03-2023,Arunachal Pradesh,4-Wheelers,0,1048
396,01-03-2023,Ladakh,2-Wheelers,0,30
397,01-03-2023,Ladakh,4-Wheelers,0,59
398,01-03-2023,Manipur,4-Wheelers,0,320
399,01-03-2023,Meghalaya,4-Wheelers,0,1369
400,01-03-2023,Mizoram,4-Wheelers,0,433
401,01-03-2023,Nagaland,2-Wheelers,0,693
402,01-03-2023,Nagaland,4-Wheelers,0,820
403,01-04-2023,Andaman & Nicobar Island,2-Wheelers,0,325
404,01-04-2023,Arunachal Pradesh,2-Wheelers,0,971
405,01-04-2023,Ladakh,2-Wheelers,0,43
406,01-04-2023,Ladakh,4-Wheelers,0,219
407,01-04-2023,Manipur,4-Wheelers,0,942
408,01-04-2023,Mizoram,4-Wheelers,0,336
409,01-04-2023,Nagaland,2-Wheelers,0,560
410,01-05-2023,Andaman & Nicobar Island,2-Wheelers,0,436
411,01-05-2023,Andaman & Nicobar Island,4-Wheelers,0,150
412,01-05-2023,Arunachal Pradesh,4-Wheelers,0,1132
413,01-05-2023,Ladakh,4-Wheelers,0,364
414,01-05-2023,Mizoram,4-Wheelers,0,382
415,01-05-2023,Nagaland,2-Wheelers,0,610
416,01-05-2023,Nagaland,4-Wheelers,0,796
417,01-06-2023,Andaman & Nicobar Island,2-Wheelers,0,373
418,01-06-2023,Arunachal Pradesh,2-Wheelers,0,1141
419,01-06-2023,Arunachal Pradesh,4-Wheelers,0,1089
420,01-06-2023,Ladakh,4-Wheelers,0,304
421,01-06-2023,Manipur,4-Wheelers,0,220
422,01-06-2023,Mizoram,4-Wheelers,0,383
423,01-06-2023,Nagaland,2-Wheelers,0,650
424,01-06-2023,Nagaland,4-Wheelers,0,620
425,01-07-2023,Andaman & Nicobar Island,2-Wheelers,0,424
426,01-07-2023,Arunachal Pradesh,2-Wheelers,0,1315
427,01-07-2023,Ladakh,4-Wheelers,0,301
428,01-07-2023,Mizoram,4-Wheelers,0,439
429,01-08-2023,Andaman & Nicobar Island,2-Wheelers,0,477
430,01-08-2023,Arunachal Pradesh,2-Wheelers,0,1292
431,01-08-2023,Ladakh,2-Wheelers,0,63
432,01-08-2023,Ladakh,4-Wheelers,0,278
433,01-08-2023,Mizoram,4-Wheelers,0,410
434,01-08-2023,Nagaland,2-Wheelers,0,592
435,01-08-2023,Nagaland,4-Wheelers,0,760
436,01-09-2023,Andaman & Nicobar Island,2-Wheelers,0,379
437,01-09-2023,Arunachal Pradesh,2-Wheelers,0,1274
438,01-09-2023,Ladakh,2-Wheelers,0,40
439,01-09-2023,Ladakh,4-Wheelers,0,211
440,01-09-2023,Manipur,2-Wheelers,0,426
441,01-09-2023,Manipur,4-Wheelers,0,239
442,01-09-2023,Mizoram,4-Wheelers,0,415
443,01-09-2023,Nagaland,4-Wheelers,0,654
