Sl.No,Date,vehicle_category,maker,electric_vehicles_sold
219,01-09-2023,4-Wheelers,KIA Motors,26
330,01-02-2023,4-Wheelers,Volvo Auto India,26
369,01-03-2024,4-Wheelers,KIA Motors,26
339,01-02-2024,4-Wheelers,Mercedes -Benz AG,24
173,01-07-2023,4-Wheelers,Mercedes -Benz AG,23
291,01-12-2023,4-Wheelers,KIA Motors,23
312,01-01-2024,4-Wheelers,PCA Automobiles,23
175,01-07-2023,4-Wheelers,KIA Motors,22
331,01-02-2023,4-Wheelers,KIA Motors,22
197,01-08-2023,4-Wheelers,KIA Motors,21
208,01-09-2022,4-Wheelers,BMW India,21
305,01-01-2023,4-Wheelers,Volvo Auto India,21
413,01-05-2021,2-Wheelers,BAJAJ,20
119,01-05-2022,4-Wheelers,Hyundai Motor,19
186,01-08-2022,4-Wheelers,BMW India,19
424,01-05-2022,2-Wheelers,OKAYA EV,19
157,01-07-2021,4-Wheelers,Hyundai Motor,18
240,01-10-2023,4-Wheelers,Mercedes -Benz AG,18
98,01-04-2022,4-Wheelers,Hyundai Motor,17
341,01-02-2024,4-Wheelers,KIA Motors,17
359,01-03-2023,4-Wheelers,KIA Motors,17
280,01-12-2022,4-Wheelers,Volvo Auto India,16
97,01-04-2022,4-Wheelers,BYD India,15
151,01-06-2023,4-Wheelers,Mercedes -Benz AG,14
253,01-11-2022,4-Wheelers,BMW India,14
304,01-01-2023,4-Wheelers,Mercedes -Benz AG,14
345,01-03-2022,4-Wheelers,BYD India,14
346,01-03-2022,4-Wheelers,Hyundai Motor,14
723,01-01-2023,2-Wheelers,REVOLT,14
415,01-05-2021,2-Wheelers,JITENDRA,13
92,01-04-2021,4-Wheelers,Hyundai Motor,12
99,01-04-2022,4-Wheelers,BMW India,12
329,01-02-2023,4-Wheelers,Mercedes -Benz AG,12
135,01-06-2021,4-Wheelers,Hyundai Motor,10
179,01-08-2021,4-Wheelers,Hyundai Motor,10
271,01-12-2021,4-Wheelers,Hyundai Motor,10
320,01-02-2022,4-Wheelers,BYD India,10
357,01-03-2023,4-Wheelers,Mercedes -Benz AG,10
129,01-05-2023,4-Wheelers,Mercedes -Benz AG,9
411,01-05-2021,2-Wheelers,TVS,9
100,01-04-2022,4-Wheelers,Mercedes -Benz AG,8
108,01-04-2023,4-Wheelers,Mercedes -Benz AG,8
195,01-08-2023,4-Wheelers,Mercedes -Benz AG,8
223,01-10-2021,4-Wheelers,Hyundai Motor,8
295,01-01-2022,4-Wheelers,BYD India,8
246,01-11-2021,4-Wheelers,Hyundai Motor,7
347,01-03-2022,4-Wheelers,BMW India,7
120,01-05-2022,4-Wheelers,BMW India,6
201,01-09-2021,4-Wheelers,Hyundai Motor,6
279,01-12-2022,4-Wheelers,Mercedes -Benz AG,6
296,01-01-2022,4-Wheelers,Hyundai Motor,6
321,01-02-2022,4-Wheelers,Hyundai Motor,6
255,01-11-2022,4-Wheelers,Volvo Auto India,5
348,01-03-2022,4-Wheelers,Mercedes -Benz AG,5
121,01-05-2022,4-Wheelers,Mercedes -Benz AG,4
142,01-06-2022,4-Wheelers,BMW India,4
164,01-07-2022,4-Wheelers,BMW India,4
230,01-10-2022,4-Wheelers,BMW India,4
231,01-10-2022,4-Wheelers,Mercedes -Benz AG,4
254,01-11-2022,4-Wheelers,Mercedes -Benz AG,4
349,01-03-2022,4-Wheelers,Volvo Auto India,4
93,01-04-2021,4-Wheelers,Mercedes -Benz AG,3
114,01-05-2021,4-Wheelers,Hyundai Motor,3
187,01-08-2022,4-Wheelers,Mercedes -Benz AG,3
209,01-09-2022,4-Wheelers,Mercedes -Benz AG,3
224,01-10-2021,4-Wheelers,Mercedes -Benz AG,3
322,01-02-2022,4-Wheelers,Mercedes -Benz AG,3
136,01-06-2021,4-Wheelers,Mercedes -Benz AG,2
143,01-06-2022,4-Wheelers,Mercedes -Benz AG,2
180,01-08-2021,4-Wheelers,Mercedes -Benz AG,2
202,01-09-2021,4-Wheelers,Mercedes -Benz AG,2
247,01-11-2021,4-Wheelers,Mercedes -Benz AG,2
297,01-01-2022,4-Wheelers,Mercedes -Benz AG,2
158,01-07-2021,4-Wheelers,Mercedes -Benz AG,1
165,01-07-2022,4-Wheelers,Mercedes -Benz AG,1
270,01-12-2021,4-Wheelers,BYD India,1
272,01-12-2021,4-Wheelers,Mercedes -Benz AG,1
1,01-04-2021,2-Wheelers,OLA ELECTRIC,0
2,01-04-2022,2-Wheelers,OKAYA EV,0
3,01-05-2021,2-Wheelers,OLA ELECTRIC,0
4,01-06-2021,2-Wheelers,OLA ELECTRIC,0
5,01-07-2021,2-Wheelers,OLA ELECTRIC,0
6,01-08-2021,2-Wheelers,OLA ELECTRIC,0
7,01-09-2021,2-Wheelers,OLA ELECTRIC,0
8,01-10-2021,2-Wheelers,OLA ELECTRIC,0
9,01-11-2021,2-Wheelers,OLA ELECTRIC,0
10,01-04-2021,4-Wheelers,BYD India,0
11,01-04-2021,4-Wheelers,PCA Automobiles,0
12,01-04-2021,4-Wheelers,BMW India,0
13,01-04-2021,4-Wheelers,Volvo Auto India,0
14,01-04-2021,4-Wheelers,KIA Motors,0
15,01-04-2022,4-Wheelers,PCA Automobiles,0
16,01-04-2022,4-Wheelers,Volvo Auto India,0
17,01-04-2022,4-Wheelers,KIA Motors,0
18,01-05-2021,4-Wheelers,BYD India,0
19,01-05-2021,4-Wheelers,PCA Automobiles,0
20,01-05-2021,4-Wheelers,BMW India,0
21,01-05-2021,4-Wheelers,Mercedes -Benz AG,0
22,01-05-2021,4-Wheelers,Volvo Auto India,0
23,01-05-2021,4-Wheelers,KIA Motors,0
24,01-05-2022,4-Wheelers,PCA Automobiles,0
25,01-05-2022,4-Wheelers,Volvo Auto India,0
26,01-05-2022,4-Wheelers,KIA Motors,0
27,01-06-2021,4-Wheelers,BYD India,0
28,01-06-2021,4-Wheelers,PCA Automobiles,0
29,01-06-2021,4-Wheelers,BMW India,0
30,01-06-2021,4-Wheelers,Volvo Auto India,0
31,01-06-2021,4-Wheelers,KIA Motors,0
32,01-06-2022,4-Wheelers,PCA Automobiles,0
33,01-06-2022,4-Wheelers,Volvo Auto India,0
34,01-06-2022,4-Wheelers,KIA Motors,0
35,01-07-2021,4-Wheelers,BYD India,0
36,01-07-2021,4-Wheelers,PCA Automobiles,0
37,01-07-2021,4-Wheelers,BMW India,0
38,01-07-2021,4-Wheelers,Volvo Auto India,0
39,01-07-2021,4-Wheelers,KIA Motors,0
40,01-07-2022,4-Wheelers,PCA Automobiles,0
41,01-07-2022,4-Wheelers,Volvo Auto India,0
42,01-07-2022,4-Wheelers,KIA Motors,0
43,01-08-2021,4-Wheelers,BYD India,0
